Street,Zip,"",Lo,High,School,Odd/Even
Chestnut Avenue,08611,"",455,1957,Dunn Middle,""
Christoph Avenue,08618,"","","",Gregory Elementary,""
Christoph Avenue,08618,"","","",Kilmer Middle School,""
Church Street,08618,"","","",Gregory Elem (Monument),""
Church Street,08618,"","","",Rivera Middle,""
Clark Street,08611,"","","",Robbins Elementary,""
Clark Street,08611,"","","",Hg-Wms. Middle,""
Clay Street,08611,"","","",Parker Elementary,""
Clay Street,08611,"","","",Dunn Middle,""
Clearfield Avenue,08618,"","","",Jefferson Elementary,""
Clearfield Avenue,08618,"","","",Kilmer Middle School,""
Cleveland Avenue,08609,"","","",Robeson Elementary,""
Cleveland Avenue,08609,"","","",Hg-Wms. Middle,""
Cliff Street,08611,"","","",Mott Elementary,""
Cliff Street,08611,"","","",Dunn Middle,""
Clinton Avenue North,08609,"",1,352,Grant Elementary,Last odd 309/Last Even 352
Clinton Avenue North,08638,"",311,End,Wilson Elementary,First odd 311/First even 360
Clinton Avenue North,08638,"","","",Rivera Middle,""
Clinton Avenue South,08609,"",1,200,Grant Elementary,""
Clinton Avenue South,08609,"",201,650,Robbins Elementary,""
Clinton Avenue South,08611,"",687,1200,Columbus Elem (Harrison),""
Clinton Avenue South,08611,"",1201,1944,Franklin Elementary,""
Clinton Avenue South,08609,"",1,200,Rivera Middle,""
Clinton Avenue South,08609,"",651,1944,Dunn Middle,last odd 1927/last even 1944
Clinton Avenue South,08609,"",201,650,Hg-Wms. Middle,""
Coates Street,08611,"","","",Mott Elementary,""
Coates Street,08611,"","","",Dunn Middle,""
Cole Street,08618,"","","",Gregory Elementary,""
Cole Street,08618,"","","",Kilmer Middle,""
College Court,08611,"","","",Washington Elementary,""
College Court,08611,"","","",Dunn Middle,""
College Street,08611,"","","",Washington Elementary,""
College Street,08611,"","","",Dunn Middle,""
Colonial Avenue,08618,"","","",Gregory Elementary,""
Colonial Avenue,08618,"","","",Kilmer Middle School,""
Columbia Avenue,08638,"","","",Jefferson Elementary,""
Columbia Avenue,08638,"","","",Kilmer Middle School,""
Columbus Avenue,08629,"",1,361,Robeson Elementary,""
Columbus Avenue,08629,"",1,361,Hg-Wms. Middle,""
Columbus Avenue,08629,"",362,End,Dunn Middle,""
Commerce Street,08618,"","","",King Elementary,""
Commerce Street,08618,"","","",Rivera Middle,""
Commonwealth Avenue,08629,"",1,399,Robeson Elementary,""
Commonwealth Avenue,08629,"",400,End,Washington Elementary,""
Commonwealth Avenue,08629,"",1,399,Hg-Wms. Middle,""
Commonwealth Avenue,08629,"",400,End,Dunn Middle,""
Conovers Alley,08611,"","","",Parker Elementary,""
Conovers Alley,08611,"","","",Dunn Middle,""
Conrad Street,08611,"","","",Robbins Elementary,""
Conrad Street,08611,"","","",Hg-Wms. Middle,""
Cook Avenue North,08609,"","","",Hill Elementary,""
Cook Avenue North,08609,"","","",Hg-Wms. Middle,""
Cook Avenue South,08629,"",1,145,Hill Elementary,""
Cook Avenue South,08629,"",146,End,Robeson Elementary,""
Cook Avenue South,08629,"","","",Hg-Wms. Middle,""
Cook Place,08609,"","","",Robbins Elementary,""
Cook Place,08609,"","","",Hg-Wms. Middle,""
Coolidge Avenue,08618,"","","",Jefferson Elementary,""
Coolidge Avenue,08618,"","","",Kilmer Middle School,""
Cooper Street,08611,"","","",Parker Elementary,""
