Street,Zip,"",Lo,High,School,Odd/Even
Watson Street,08611,"","","",Dunn Middle,""
Wayne Avenue,08618,"","","",King Elementary,""
Wayne Avenue,08618,"","","",Rivera Middle,""
Webster Street,08638,"","","",Wilson Elementary,""
Webster Street,08638,"","","",Rivera Middle,""
Weinberg Place,08638,"","","",Columbus Elementary,""
Weinberg Place,08638,"","","",Rivera Middle,""
West End Avenue,08618,"","","",Gregory Elementary,""
West End Avenue,08618,"","","",Kilmer Middle School,""
West Street,08611,"","","",Franklin Elementary,""
West Street,08611,"","","",Dunn Middle,""
Westfield Avenue North,08618,"","","",Jefferson Elementary,""
Westfield Avenue North,08618,"","","",Kilmer Middle School,""
Westfield Avenue South,08618,"","","",Jefferson Elementary,""
Westfield Avenue South,08618,"","","",Kilmer Middle School,""
Westminister Avenue,08618,"","","",Jefferson Elementary,""
Westminister Avenue,08618,"","","",Kilmer Middle School,""
White Street,08618,"","","",Gregory Elem (Monument),""
Whittaker Avenue,08611,"",1,299,Robbins Elementary,""
Whittaker Avenue,08611,"",300,End,Washington Elementary,""
Whittaker Avenue,08611,"",1,299,Hg-Wms. Middle,""
Whittaker Avenue,08611,"",300,End,Dunn Middle,""
Whittier Avenue,08618,"","","",Jefferson Elementary,""
Whittier Avenue,08618,"","","",Kilmer Middle School,""
Whittlesey Road,08618,"","","",Jefferson Elementary,""
Whittlesey Road,08618,"","","",Kilmer Middle School,""
Wiley Avenue,08638,"",1,168,King Elementary,""
Wiley Avenue,08638,"",1,168,Rivera Middle,""
Wilkinson Place,08618,"","","",Gregory Elem (Monument),""
Wilkinson Place,08618,"","","",Rivera Middle,""
William Street,08610,"",1,743,Franklin Elementary,Last even 726/Last odd 743
William Street,08610,"",1,743,Dunn Middle,Last even 726/Last odd 743
Willow Street North,08618,"",1,418,Gregory Elem (Monument),""
Willow Street North,08618,"","","",Rivera Middle,""
Willow Street South,08608,"","","",Parker Elementary,""
Willow Street South,08608,"","","",Rivera Middle,""
Wilson Street,08618,"","","",Gregory Elem (Monument),""
Wilson Street,08618,"","","",Rivera Middle,""
Winder Avenue,08609,"","","",Hill Elementary,""
Winder Avenue,08609,"","","",Hg-Wms. Middle,""
Winter Street,08618,"","","",Gregory Elem (Monument),""
Winter Street,08618,"","","",Rivera Middle,""
Winthrop Court,08618,"","","",Gregory Elem (Monument),""
Winthrop Court,08618,"","","",Rivera Middle,""
Wolverton Street,08611,"","","",Columbus Elem (Harrison),""
Wolverton Street,08611,"","","",Dunn Middle,""
Wood Street,08618,"","","",Grant Elementary,""
Wood Street,08618,"","","",Rivera Middle,""
Woodland Street,08611,"",1,99,Columbus Elem (Harrison),5th graders to Franklin
Woodland Street,08611,"",100,727,Franklin Elementary,""
Woodland Street,08611,"",1,727,Dunn Middle,last even 520/last odd 727
Woodside Avenue,08618,"","","",Jefferson Elementary,""
Woodside Avenue,08618,"","","",Kilmer Middle School,""
Yard Avenue,08609,"","","",Grant Elementary,""
