school,road,from,to,oddeven
LES,SPRINGWOOD DR,,,
LES,STONERISE DR,,,
LES,STONEY CREEK PLACE,,,
LES,SYCAMORE CT,,,
LES,TALL TIMBERS DR,,,
LES,TIOGA AVE,,,
LES,TITUS AVE,,,
LES,TOFTREES CT,,,
SL,ALBURTUS CT,,,
SL,ARTHUR PL,,,
SL,BETTS AVE,,,
SL,BRECKENRIDGE PL,,,
SL,BRITTON CT,,,
SL,BUNKER HILL AVE,,,
SL,CAMBRIDGE AVE,,,
SL,CARNEGIE RD,,,
SL,CARR AVE,,,
SL,CARTER ST,,,
SL,CHAMBERLIN CT,,,
SL,CHERRY TREE LANE,,,
SL,COLONIAL LAKE DR,,,
SL,DREWES CT,,,
SL,DUNN ALLEY,,,
SL,FAIRBANKS PLACE,,,
SL,FEILER CT,,,
SL,FILLMORE PLACE,,,
SL,FREEDOM BOULEVARD,,,
SL,FREEDOM CT,,,
SL,GILPIN CT,,,
SL,GLENVIEW DR,,,
SL,GRAF AVE,,,
SL,HARMONY AVE,,,
SL,HARRIS CT,,,
SL,HAVESON AVE,,,
SL,HELEN AVE,,,
SL,HOPATCONG DR,,,
SL,HOPE ST,,,
SL,HOPEWELL AVE,,,
SL,HURON WAY,,,
SL,INDIANA AVE,1333,1333,
SL,INDIANA AVE,1336,1336,
SL,INDIANA AVE,1503,1503,
SL,INDIANA AVE,1505,1505,
SL,JOYNER CT,,,
SL,KITE CT,,,
SL,LAKE DR,,,
SL,LAKE CT,,,
SL,LAKEDALE DR,,,
SL,LANNING AVE,,,
SL,LATTA CT,,,
SL,LAWRENC SQ BLVD,,,
SL,LAWRENCE RD,150,550,
SL,LITHO RD,,,
SL,LUCERNE DR,,,
SL,MABEL AVE,,,
SL,MAPLEWOOD AVE,,,
SL,MARSH CT,,,
SL,MAYFLOWER AVE,,,
SL,MEADOW WOODS LANE,,,
SL,MENDREY CT,,,
SL,MICHIGAN AVE,106,142,
SL,MULBERRY ST,915,979,
SL,MULBERRY ST,951,979,
SL,MYRTLE AVE,,,
SL,NATHAN HALE AVE,,,
SL,NEW YORK AVE,,,
SL,OHIO AVE,1408,1661,
SL,ONEIL CT,,,
SL,ONTARIO WAY,,,
SL,PEAR ST,714,766,
SL,PILGRIM AVE,,,
SL,PINE ST,910,971,
SL,POILLON CT,,,
SL,POLK AVE,,,
SL,PRESIDENT AVE,,,
SL,PRINCETON AVE,1600,2175,
SL,PURITAN AVE,,,
SL,PUTNAM AVE,,,
SL,QUAKERBRIDGE RD,4018,4262,even
SL,REED CT,,,
SL,RICKARD CT,,,
SL,ROUTE US HWY 1,0,3371,even
SL,SCHERER CT,,,
SL,SHERMAN PLACE,,,
SL,SLACK AVE,,,
SL,SPRUCE ST,834,1120,even
SL,STEVENS AVE,,,
SL,STOUT CT,,,
SL,STRATTON PLACE,,,
